id,nombre,precio,imagenes,enlace,colores
0979945001,Loose Jeans,S/ 111.00,"['https://hmperu.vtexassets.com/arquivos/ids/4840789/Loose-Jeans---Azul-denim-claro---H-M-PE.jpg?v=638679533994930000', 'https://hmperu.vtexassets.com/arquivos/ids/4840784-294-450?v=638679533922130000&width=294&height=450&aspect=true']",https://pe.hm.com/0979945001/p,"[{'nombre': 'Negro', 'rgb': '(46, 46, 48)'}, {'nombre': 'Denim blue', 'rgb': '(115, 127, 161)'}, {'nombre': 'Gris denim', 'rgb': '(124, 125, 129)'}]"
1235413002,Baggy Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4883483-294-450?v=638696804203600000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4883486/Baggy-Jeans---Negro---H-M-PE.jpg?v=638696804213900000']",https://pe.hm.com/1235413002/p,"[{'nombre': 'Azul denim claro', 'rgb': '(121, 141, 178)'}]"
1008549030,Straight Regular Jeans,S/ 99.95,"['https://hmperu.vtexassets.com/arquivos/ids/4863198/Straight-Regular-Jeans---Azul-denim-claro---H-M-PE.jpg?v=638685571094570000', 'https://hmperu.vtexassets.com/arquivos/ids/4863195-294-450?v=638685571085470000&width=294&height=450&aspect=true']",https://pe.hm.com/1008549030/p,"[{'nombre': 'Negro', 'rgb': '(46, 46, 48)'}]"
1235413001,Baggy Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4667327/Baggy-Jeans---Azul-denim-claro---H-M-PE.jpg?v=638591386791200000', 'https://hmperu.vtexassets.com/arquivos/ids/4667323-294-450?v=638591386773830000&width=294&height=450&aspect=true']",https://pe.hm.com/1235413001/p,"[{'nombre': 'Black', 'rgb': '(41, 40, 45)'}]"
1024711032,Slim Jeans,S/ 99.95,"['https://hmperu.vtexassets.com/arquivos/ids/4496147-294-450?v=638516241969330000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4496152/Slim-Jeans---Azul-denim-claro---H-M-PE.jpg?v=638516242033300000']",https://pe.hm.com/1024711032/p,"[{'nombre': 'Azul denim oscuro', 'rgb': '(76, 81, 100)'}]"
0875105043,Relaxed Jeans,S/ 103.00,"['https://hmperu.vtexassets.com/arquivos/ids/4601631/Relaxed-Jeans---Negro---H-M-PE.jpg?v=638566330810930000', 'https://hmperu.vtexassets.com/arquivos/ids/4601631-294-450?v=638566330810930000&width=294&height=450&aspect=true']",https://pe.hm.com/0875105043/p,[]
0979945003,Loose Jeans,S/ 159.00,"['https://hmperu.vtexassets.com/arquivos/ids/4840840-294-450?v=638679534730670000&width=294&height=450&aspect=true', 'https://hmperu.vtexassets.com/arquivos/ids/4840845/Loose-Jeans---Negro---H-M-PE.jpg?v=638679534795400000']",https://pe.hm.com/0979945003/p,"[{'nombre': 'Azul denim claro', 'rgb': '(136, 152, 172)'}, {'nombre': 'Denim blue', 'rgb': '(115, 127, 161)'}, {'nombre': 'Gris denim', 'rgb': '(124, 125, 129)'}]"
1200943001,Straight Regular Jeans,S/ 103.00,"['https://hmperu.vtexassets.com/arquivos/ids/4604212/Straight-Regular-Jeans---Negro---H-M-PE.jpg?v=638566370429900000', 'https://hmperu.vtexassets.com/arquivos/ids/4604212-294-450?v=638566370429900000&width=294&height=450&aspect=true']",https://pe.hm.com/1200943001/p,[]
1159766003,Skinny Jeans,S/ 103.00,"['https://hmperu.vtexassets.com/arquivos/ids/4534945/Skinny-Jeans---Gris-denim---H-M-PE.jpg?v=638532638141900000', 'https://hmperu.vtexassets.com/arquivos/ids/4534940-294-450?v=638532638121800000&width=294&height=450&aspect=true']",https://pe.hm.com/1159766003/p,[]
0985159001,Skinny Jeans,S/ 63.00,"['https://hmperu.vtexassets.com/arquivos/ids/4634976/Skinny-Jeans---Negro---H-M-PE.jpg?v=638578429996300000', 'https://hmperu.vtexassets.com/arquivos/ids/4634976-294-450?v=638578429996300000&width=294&height=450&aspect=true']",https://pe.hm.com/0985159001/p,[]
